ID do Problema,Descrição,Estado,Gravidade,Pontos da História,Caminho do Projeto,Variante de Local,Caminho,Linha,Coluna,ID do Incidente,Link de Ajuda,Nome do Assembly,Versão do Assembly,Chave Pública do Assembly,Trecho
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,Microsoft.Bcl.TimeProvider 8.0.1,,,,,"Microsoft.Bcl.TimeProvider, 8.0.1  Recomendação:  Remove Microsoft.Bcl.TimeProvider, and replace with new package Microsoft.Bcl.TimeProvider 10.0.3"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,Microsoft.Extensions.Logging.Abstractions 2.1.0,,,,,"Microsoft.Extensions.Logging.Abstractions, 2.1.0  Recomendação:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.3"
NuGet.0003,A funcionalidade do pacote NuGet está incluída na referência da estrutura,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  Recomendação:  Funcionalidade do pacote incluída com a nova referência de estrutura"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,System.Diagnostics.DiagnosticSource 6.0.2,,,,,"System.Diagnostics.DiagnosticSource, 6.0.2  Recomendação:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 10.0.3"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,System.Formats.Asn1 8.0.1,,,,,"System.Formats.Asn1, 8.0.1  Recomendação:  Remove System.Formats.Asn1, and replace with new package System.Formats.Asn1 10.0.3"
NuGet.0003,A funcionalidade do pacote NuGet está incluída na referência da estrutura,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recomendação:  Funcionalidade do pacote incluída com a nova referência de estrutura"
NuGet.0003,A funcionalidade do pacote NuGet está incluída na referência da estrutura,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,System.Numerics.Vectors 4.6.1,,,,,"System.Numerics.Vectors, 4.6.1  Recomendação:  Funcionalidade do pacote incluída com a nova referência de estrutura"
NuGet.0003,A funcionalidade do pacote NuGet está incluída na referência da estrutura,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,System.Threading.Tasks.Extensions 4.6.3,,,,,"System.Threading.Tasks.Extensions, 4.6.3  Recomendação:  Funcionalidade do pacote incluída com a nova referência de estrutura"
NuGet.0003,A funcionalidade do pacote NuGet está incluída na referência da estrutura,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,System.ValueTuple 4.6.1,,,,,"System.ValueTuple, 4.6.1  Recomendação:  Funcionalidade do pacote incluída com a nova referência de estrutura"
Project.0001,O arquivo de projeto precisa ser convertido no estilo do SDK,Active,Mandatory,1,App_Finanças\App_Finanças.csproj,File,App_Finanças\App_Finanças.csproj,,,,,,,,
